rna0	XM_015955279
rna1381	XM_015952654
rna1382	XM_015952668
rna1383	XM_015952677
rna1384	XM_015952689
rna1385	XM_015952690
rna1386	XM_015952727
rna1387	XM_015952719
rna1388	XM_015952708
rna1389	XM_015952700
rna1390	XM_015952757
rna1393	XM_015952739
rna1394	XM_015952746
rna1395	XM_015952793
rna1396	XM_015952780
rna1397	XM_015943157
rna1398	XM_015952804
rna1399	XM_015952816
rna1400	XM_015952838
rna1401	XM_015952828
rna1402	XM_015952858
rna1403	XM_015952850
rna1404	XM_015952867
rna1405	XM_015952879
rna1406	XM_015952888
rna1407	XM_015952902
rna1408	XM_015952914
rna1409	XM_015943169
rna1410	XM_015952924
rna1411	XM_015952936
rna1412	XM_015952947
rna1416	XM_015952993
rna1417	XM_015952973
rna1418	XM_015952980
rna1419	XM_015953004
rna1420	XM_015953034
rna1421	XM_015953026
rna1422	XM_015953017
rna1423	XM_015953041
rna1424	XM_015953056
rna1425	XM_015953066
rna1426	XM_015953074
rna1427	XM_015953095
rna1428	XM_015953086
rna1429	XM_015953122
rna1430	XM_015953108
rna1431	XM_015953135
rna1432	XM_015953143
rna1433	XM_015953165
rna1434	XM_015953175
rna1435	XM_015953187
rna1436	XM_015953199
rna1437	XM_015953214
rna1438	XM_015953227
rna1439	XM_015953233
rna1440	XM_015953244
rna1441	XM_015953268
rna1442	XM_015953256
rna1443	XM_015953300
rna1444	XM_015953280
rna1445	XM_015953305
rna1446	XM_015953317
rna1447	XM_015953309
rna1448	XM_015953290
rna1449	XM_015953327
rna1450	XM_015953334
rna1451	XM_015953344
rna1452	XM_015953370
rna1453	XM_015953356
rna1458	XM_015953434
rna1459	XM_015953444
rna1460	XM_015953418
rna1461	XM_015953425
rna1462	XM_015953408
rna1463	XM_015953400
rna1464	XM_015953412
rna1465	XM_015943175
rna1466	XM_015953479
rna1467	XM_015953490
rna1468	XM_015953514
rna1469	XM_015953504
rna1470	XM_015953527
rna1471	XM_015953535
rna1472	XM_015953548
rna1473	XM_015953556
rna1475	XM_015953568
rna1476	XM_015953611
rna1477	XM_015953623
rna1478	XM_015953636
rna1479	XM_015953650
rna1480	XM_015953663
rna1481	XM_015953676
rna1482	XM_015943179
rna1483	XM_015953692
rna1484	XM_015953702
rna1485	XM_015953710
rna1486	XM_015953770
rna1487	XM_015953753
rna1488	XM_015953762
rna1489	XM_015953733
rna1490	XM_015953724
rna1491	XM_015953741
rna1492	XM_015943188
rna1493	XM_015953782
rna1494	XM_015953793
rna1495	XM_015953808
rna1496	XM_015953817
rna1498	XM_015953827
rna1499	XM_015953836
rna1501	XM_015953845
rna1502	XM_015953851
rna1503	XM_015953865
rna1504	XM_015953875
rna1505	XM_015953884
rna1506	XM_015953900
rna1509	XM_015954731
rna1510	XM_015954746
rna1511	XM_015954782
rna1512	XM_015954775
rna1513	XM_015954761
rna1514	XM_015954789
rna1515	XM_015954800
rna1516	XM_015954808
rna1518	XM_015954879
rna1519	XM_015954871
rna1520	XM_015954886
rna1521	XM_015954865
rna1522	XM_015954835
rna1523	XM_015954853
rna1524	XM_015954844
rna1525	XM_015954908
rna1526	XM_015954899
rna1528	XM_015954927
rna1529	XM_015954967
rna1530	XM_015954959
rna1531	XM_015954977
rna1532	XM_015954982
rna1533	XM_015954990
rna1534	XM_015955003
rna1535	XM_015955014
rna1536	XM_015955036
rna1537	XM_015955030
rna1538	XM_015955047
rna1539	XM_015955064
rna1540	XM_015955057
rna1541	XM_015955085
rna1542	XM_015955074
rna1543	XM_015955093
rna1544	XM_015955103
rna1545	XM_015955110
rna1546	XM_015955119
rna1547	XM_015955128
rna1548	XM_015955140
rna1549	XM_015955149
rna1551	XM_015955174
rna1552	XM_015955162
rna1553	XM_015955243
rna1554	XM_015955255
rna1555	XM_015955269
rna1556	XM_015955275
rna1557	XM_015955287
rna1558	XM_015955300
rna1561	XM_015955319
rna1562	XM_015955311
rna1563	XM_015955328
rna1564	XM_015955341
rna1565	XM_015955366
rna1566	XM_015963431
rna1567	XM_015963440
rna1568	XM_015954370
rna1569	XM_015955379
rna1570	XM_015955389
rna1571	XM_015955400
rna1572	XM_015955408
rna1573	XM_015955440
rna1574	XM_015955417
rna1575	XM_015955429
rna1576	XM_015955454
rna1577	XM_015954394
rna1579	XM_015954404
rna1580	XM_015955466
rna1581	XM_015955478
rna1582	XM_015955486
rna1583	XM_015955493
rna1584	XM_015955506
rna1585	XM_015955534
rna1586	XM_015955546
rna1587	XM_015955517
rna1588	XM_015955542
rna1589	XM_015955525
rna1590	XM_015955571
rna1591	XM_015955555
rna1592	XM_015955564
rna1594	XM_015955592
rna1595	XM_015955605
rna1596	XM_015955626
rna1597	XM_015955619
rna1598	XM_015955632
rna1599	XM_015955643
rna1600	XM_015955640
rna1601	XM_015954417
rna1602	XM_015963461
rna1603	XM_015955648
rna1604	XM_015955660
rna1606	XM_015955681
rna1607	XM_015955697
rna1608	XM_015955706
rna1609	XM_015955723
rna1610	XM_015955714
rna1611	XM_015955732
rna1612	XM_015955689
rna1613	XM_015955763
rna1614	XM_015955738
rna1615	XM_015955746
rna1616	XM_015955754
rna1617	XM_015955774
rna1618	XM_015955839
rna1619	XM_015955805
rna1620	XM_015955814
rna1621	XM_015955827
rna1622	XM_015955795
rna1623	XM_015955787
rna1624	XM_015955851
rna1625	XM_015955878
rna1626	XM_015955894
rna1627	XM_015955911
rna1628	XM_015955872
rna1629	XM_015955886
rna1630	XM_015955902
rna1631	XM_015955862
rna1632	XM_015955922
rna1634	XM_015956004
rna1635	XM_015955996
rna1636	XM_015955988
rna1637	XM_015955971
rna1638	XM_015955963
rna1639	XM_015955955
rna1640	XM_015955947
rna1641	XM_015955981
rna1642	XM_015955938
rna1643	XM_015956016
rna1644	XM_015956028
rna1645	XM_015956047
rna1646	XM_015956039
rna1647	XM_015956064
rna1648	XM_015956055
rna1649	XM_015956088
rna1650	XM_015956100
rna1651	XM_015956124
rna1653	XM_015956113
rna1654	XM_015954447
rna1657	XM_015956169
rna1658	XM_015956176
rna1659	XM_015956191
rna1660	XM_015956203
rna1661	XM_015956147
rna1662	XM_015956157
rna1663	XM_015954459
rna1664	XM_015956216
rna1665	XM_015954471
rna1666	XM_015956230
rna1667	XM_015956239
rna1668	XM_015954481
rna1669	XM_015956264
rna1670	XM_015956321
rna1671	XM_015956273
rna1672	XM_015956310
rna1673	XM_015956282
rna1674	XM_015956299
rna1675	XM_015956290
rna1676	XM_015956254
rna1679	XM_015956333
rna1680	XM_015956354
rna1681	XM_015956366
rna1682	XM_015956378
rna1683	XM_015956390
rna1684	XM_015956398
rna1685	XM_015954493
rna1686	XM_015956409
rna1687	XM_015956404
rna1688	XM_015956415
rna1689	XM_015956419
rna1690	XM_015956430
rna1691	XM_015956433
rna1692	XM_015956442
rna1693	XM_015956452
rna1695	XM_015956498
rna1696	XM_015956472
rna1697	XM_015956484
rna1698	XM_015956509
rna1699	XM_015956530
rna1700	XM_015956520
rna1701	XM_015956544
rna1702	XM_015956536
rna1703	XM_015954503
rna1704	XM_015956550
rna1705	XM_015963488
rna1706	XM_015956583
rna1707	XM_015956595
rna1708	XM_015956571
rna1709	XM_015956561
rna1710	XM_015956619
rna1711	XM_015956625
rna1712	XM_015956633
rna1713	XM_015956642
rna1715	XM_015956653
rna1716	XM_015956671
rna1717	XM_015956679
rna1718	XM_015956687
rna1719	XM_015956699
rna1720	XM_015956722
rna1721	XM_015956713
rna1726	XM_015956754
rna1727	XM_015956744
rna1728	XM_015956762
rna1730	XM_015956786
rna1731	XM_015956775
rna1733	XM_015956805
rna1734	XM_015956798
rna1735	XM_015956816
rna1736	XM_015956827
rna1737	XM_015956833
rna1738	XM_015956842
rna1739	XM_015956856
rna1741	XM_015956869
rna1742	XM_015956882
rna1743	XM_015956903
rna1744	XM_015956894
rna1745	XM_015956912
rna1746	XM_015956920
rna1747	XM_015956956
rna1748	XM_015956944
rna1749	XM_015956935
rna1750	XM_015956968
rna1751	XM_015956979
rna1752	XM_015956996
rna1753	XM_015956988
rna1754	XM_015957010
rna1755	XM_015957020
rna1756	XM_015957032
rna1757	XM_015957076
rna1758	XM_015957068
rna1759	XM_015957060
rna1760	XM_015957099
rna1761	XM_015957087
rna1763	XM_015957119
rna1764	XM_015957111
rna1765	XM_015957133
rna1766	XM_015957140
rna1767	XM_015957149
rna1768	XM_015957161
rna1769	XM_015954535
rna1770	XM_015957198
rna1771	XM_015957175
rna1772	XM_015957184
rna1773	XM_015957190
rna1774	XM_015957221
rna1775	XM_015957229
rna1776	XM_015957208
rna1777	XM_015957240
rna1778	XM_015957259
rna1779	XM_015957251
rna1780	XM_015957268
rna1782	XM_015957292
rna1783	XM_015957279
rna1784	XM_015957314
rna1786	XM_015957343
rna1787	XM_015957334
rna1788	XM_015957351
rna1789	XM_015957327
rna1790	XM_015957362
rna1791	XM_015957372
rna1792	XM_015957380
rna1793	XM_015957390
rna1794	XM_015957410
rna1795	XM_015957403
rna1796	XM_015957423
rna1797	XM_015957436
rna1798	XM_015957454
rna1799	XM_015957462
rna1800	XM_015957445
rna1801	XM_015957471
rna1802	XM_015957479
rna1803	XM_015957502
rna1804	XM_015957493
rna1805	XM_015954547
rna1806	XM_015957514
rna1807	XM_015957522
rna1808	XM_015957540
rna1809	XM_015957558
rna1810	XM_015957533
rna1811	XM_015957549
rna1812	XM_015957570
rna1813	XM_015957583
rna1814	XM_015957595
rna1815	XM_015957607
rna1816	XM_015957648
rna1817	XM_015957627
rna1818	XM_015957637
rna1819	XM_015957619
rna1820	XM_015957660
rna1821	XM_015957726
rna1822	XM_015957732
rna1823	XM_015957741
rna1824	XM_015957746
rna1825	XM_015957736
rna1826	XM_015957672
rna1827	XM_015957712
rna1828	XM_015957698
rna1829	XM_015957689
rna1830	XM_015957705
rna1831	XM_015957681
rna1832	XM_015957719
rna1833	XM_015957745
rna1834	XM_015957753
rna1835	XM_015957762
rna1836	XM_015957773
rna1837	XM_015957832
rna1838	XM_015957822
rna1839	XM_015957795
rna1840	XM_015957785
rna1841	XM_015957804
rna1842	XM_015957811
rna1843	XM_015957851
rna1844	XM_015957843
rna1845	XM_015957864
rna1846	XM_015957874
rna1847	XM_015957913
rna1848	XM_015957888
rna1849	XM_015957904
rna1850	XM_015957896
rna1853	XM_015957944
rna1854	XM_015957957
rna1855	XM_015957969
rna1856	XM_015957976
rna1857	XM_015957988
rna1858	XM_015958007
rna1859	XM_015958000
rna1860	XM_015958016
rna1861	XM_015958020
rna1862	XM_015958039
rna1863	XM_015958032
rna1864	XM_015958050
rna1865	XM_015958070
rna1866	XM_015958062
rna1867	XM_015958087
rna1868	XM_015958107
rna1869	XM_015958080
rna1870	XM_015958097
rna1871	XM_015958131
rna1873	XM_015958152
rna1874	XM_015958167
rna1875	XM_015958179
rna1876	XM_015958187
rna1877	XM_015954558
rna1878	XM_015954566
rna1879	XM_015958197
rna1880	XM_015958210
rna1881	XM_015958223
rna1882	XM_015958246
rna1883	XM_015958256
rna1884	XM_015958234
rna1885	XM_015958298
rna1886	XM_015958293
rna1887	XM_015958287
rna1888	XM_015958278
rna1889	XM_015958264
rna1890	XM_015958310
rna1891	XM_015958321
rna1892	XM_015958335
rna1893	XM_015958346
rna1894	XM_015958358
rna1895	XM_015958380
rna1896	XM_015958371
rna1898	XM_015958421
rna1899	XM_015958427
rna1900	XM_015958412
rna1901	XM_015958436
rna1902	XM_015958444
rna1903	XM_015958466
rna1904	XM_015958481
rna1905	XM_015958457
rna1906	XM_015958489
rna1907	XM_015958472
rna1908	XM_015958500
rna1909	XM_015958540
rna1910	XM_015958513
rna1911	XM_015958530
rna1912	XM_015958522
rna1914	XM_015958560
rna1915	XM_015958567
rna1916	XM_015958578
rna1917	XM_015958591
rna1919	XM_015958601
rna1920	XM_015958640
rna1921	XM_015958612
rna1922	XM_015958621
rna1923	XM_015958648
rna1924	XM_015958631
rna1930	XM_015954574
rna1931	XM_015958707
rna1932	XM_015958678
rna1933	XM_015958698
rna1934	XM_015958689
rna1935	XM_015958715
rna1937	XM_015958797
rna1938	XM_015958736
rna1939	XM_015958756
rna1940	XM_015958778
rna1941	XM_015958745
rna1942	XM_015958764
rna1943	XM_015958773
rna1944	XM_015958787
rna1945	XM_015958806
rna1946	XM_015958827
rna1947	XM_015958817
rna1948	XM_015958848
rna1949	XM_015958839
rna1950	XM_015958883
rna1951	XM_015958861
rna1952	XM_015958868
rna1953	XM_015958911
rna1954	XM_015958902
rna1955	XM_015958894
rna1956	XM_015958933
rna1957	XM_015958923
rna1958	XM_015958951
rna1959	XM_015958941
rna1960	XM_015958964
rna1961	XM_015958981
rna1962	XM_015958974
rna1963	XM_015959041
rna1964	XM_015959002
rna1965	XM_015959017
rna1966	XM_015958993
rna1967	XM_015959032
rna1968	XM_015959010
rna1969	XM_015959026
rna1970	XM_015959062
rna1971	XM_015959052
rna1972	XM_015959082
rna1973	XM_015959073
rna1974	XM_015959092
rna1975	XM_015959103
rna1976	XM_015959113
rna1977	XM_015959122
rna1978	XM_015959132
rna1979	XM_015959145
rna1980	XM_015959159
rna1981	XM_015959188
rna1982	XM_015959170
rna1983	XM_015959179
rna1984	XM_015959199
rna1985	XM_015959210
rna1986	XM_015959221
rna1987	XM_015959247
rna1988	XM_015959255
rna1989	XM_015959231
rna1990	XM_015959239
rna1993	XM_015959304
rna1994	XM_015959317
rna1995	XM_015959275
rna1996	XM_015959283
rna1997	XM_015959266
rna1998	XM_015959292
rna1999	XM_015959327
rna2000	XM_015959341
rna2001	XM_015959356
rna2002	XM_015959375
rna2003	XM_015959367
rna2004	XM_015959384
rna2006	XM_015959412
rna2007	XM_015959422
rna2008	XM_015959430
rna2009	XM_015959441
rna2011	XM_015959455
rna2012	XM_015959464
rna2013	XM_015959477
rna2014	XM_015959486
rna2015	XM_015959499
rna2016	XM_015959537
rna2017	XM_015959550
rna2018	XM_015959512
rna2019	XM_015959517
rna2020	XM_015959526
rna2021	XM_015959561
rna2022	XM_015959570
rna2023	XM_015959593
rna2024	XM_015959583
rna2025	XM_015959604
rna2027	XM_015959657
rna2028	XM_015959649
rna2029	XM_015959668
rna2030	XM_015959640
rna2031	XM_015959624
rna2032	XM_015959632
rna2033	XM_015959683
rna2034	XM_015959695
rna2035	XM_015959704
rna2036	XM_015954587
rna2037	XM_015959730
rna2038	XM_015959717
rna2046	XM_015959741
rna2048	XM_015963586
rna2049	XM_015959790
rna2050	XM_015959778
rna2051	XM_015959802
rna2052	XM_015959826
rna2053	XM_015959817
rna2054	XM_015959811
rna2055	XM_015959836
rna2057	XM_015959866
rna2059	XM_015959886
rna2060	XM_015959898
rna2061	XM_015959909
rna2062	XM_015954603
rna2063	XM_015959934
rna2064	XM_015959945
rna2065	XM_015959957
rna2066	XM_015959971
rna2067	XM_015959982
rna2068	XM_015959993
rna2069	XM_015960004
rna2070	XM_015960026
rna2071	XM_015960017
rna2072	XM_015960038
rna2073	XM_015960047
rna2074	XM_015960057
rna2075	XM_015960062
rna2076	XM_015960081
rna2077	XM_015960068
rna2078	XM_015960078
rna2079	XM_015960084
rna2080	XM_015960072
rna2081	XM_015960085
rna2082	XM_015960089
rna2085	XM_015960122
rna2086	XM_015960108
rna2087	XM_015960144
rna2088	XM_015960137
rna2089	XM_015960117
rna2090	XM_015960130
rna2091	XM_015960156
rna2092	XM_015960177
rna2093	XM_015960169
rna2094	XM_015960189
rna2095	XM_015963598
rna2096	XM_015960218
rna2097	XM_015960200
rna2098	XM_015960227
rna2099	XM_015960210
rna2100	XM_015960238
rna2102	XM_015960249
rna2103	XM_015960272
rna2104	XM_015960281
rna2105	XM_015960294
rna2106	XM_015960318
rna2107	XM_015960306
rna2108	XM_015960341
rna2109	XM_015960329
rna2110	XM_015960353
rna2111	XM_015960416
rna2112	XM_015960390
rna2113	XM_015960373
rna2114	XM_015960383
rna2115	XM_015960364
rna2116	XM_015960398
rna2117	XM_015960433
rna2118	XM_015960424
rna2119	XM_015960408
rna2120	XM_015960444
rna2121	XM_015960456
rna2122	XM_015960466
rna2123	XM_015960516
rna2124	XM_015960494
rna2125	XM_015960505
rna2126	XM_015960478
rna2127	XM_015960528
rna2128	XM_015960550
rna2129	XM_015960561
rna2130	XM_015960574
rna2131	XM_015960585
rna2132	XM_015960597
rna2133	XM_015960603
rna2134	XM_015960641
rna2135	XM_015960655
rna2136	XM_015960628
rna2137	XM_015960617
rna2138	XM_015960614
rna2139	XM_015960699
rna2140	XM_015960691
rna2141	XM_015960677
rna2142	XM_015960667
rna2143	XM_015960752
rna2144	XM_015960709
rna2145	XM_015960718
rna2146	XM_015960764
rna2147	XM_015960740
rna2148	XM_015960731
rna2149	XM_015960787
rna2150	XM_015960796
rna2151	XM_015960775
rna2152	XM_015960807
rna2153	XM_015960816
rna2154	XM_015960828
rna2155	XM_015960841
rna2156	XM_015960854
rna2157	XM_015960868
rna2158	XM_015960881
rna2159	XM_015960894
rna2160	XM_015960903
rna2161	XM_015954613
rna2162	XM_015954624
rna2163	XM_015960915
rna2164	XM_015960927
rna2165	XM_015960979
rna2166	XM_015960988
rna2167	XM_015960969
rna2168	XM_015961002
rna2169	XM_015960948
rna2170	XM_015960939
rna2171	XM_015960956
rna2172	XM_015961012
rna2174	XM_015961022
rna2175	XM_015961039
rna2176	XM_015961031
rna2177	XM_015961048
rna2178	XM_015961054
rna2179	XM_015961068
rna2180	XM_015954637
rna2181	XM_015961082
rna2182	XM_015961096
rna2183	XM_015961111
rna2184	XM_015961123
rna2185	XM_015961135
rna2186	XM_015961176
rna2187	XM_015961161
rna2188	XM_015961168
rna2189	XM_015961153
rna2190	XM_015961146
rna2192	XM_015961213
rna2193	XM_015961202
rna2194	XM_015961193
rna2195	XM_015961227
rna2196	XM_015961235
rna2197	XM_015961267
rna2198	XM_015961259
rna2199	XM_015961280
rna2200	XM_015961288
rna2202	XM_015961306
rna2203	XM_015961318
rna2204	XM_015961332
rna2205	XM_015961344
rna2206	XM_015961355
rna2207	XM_015961367
rna2208	XM_015961378
rna2209	XM_015961387
rna2211	XM_015961409
rna2212	XM_015961422
rna2213	XM_015961432
rna2214	XM_015961440
rna2216	XM_015961451
rna2218	XM_015961519
rna2219	XM_015961497
rna2220	XM_015961548
rna2221	XM_015961531
rna2222	XM_015961538
rna2223	XM_015961475
rna2224	XM_015961484
rna2225	XM_015961508
rna2226	XM_015961558
rna2227	XM_015961566
rna2228	XM_015961578
rna2229	XM_015961593
rna2231	XM_015961606
rna2232	XM_015961616
rna2233	XM_015961627
rna2234	XM_015961640
rna2235	XM_015961649
rna2236	XM_015961657
rna2237	XM_015961687
rna2238	XM_015961705
rna2239	XM_015961696
rna2240	XM_015961677
rna2241	XM_015961669
rna2242	XM_015961710
rna2243	XM_015961714
rna2244	XM_015961735
rna2245	XM_015961725
rna2246	XM_015961746
rna2247	XM_015961755
rna2248	XM_015961779
rna2249	XM_015961790
rna2250	XM_015961813
rna2251	XM_015961797
rna2252	XM_015961806
rna2253	XM_015961767
rna2260	XM_015961848
rna2261	XM_015961854
rna2262	XM_015961866
rna2263	XM_015961879
rna2264	XM_015961886
rna2265	XM_015961980
rna2266	XM_015961995
rna2267	XM_015961987
rna2268	XM_015961973
rna2269	XM_015961947
rna2270	XM_015961964
rna2271	XM_015961953
rna2272	XM_015961940
rna2273	XM_015961931
rna2274	XM_015961912
rna2275	XM_015961921
rna2276	XM_015961905
rna2277	XM_015961897
rna2279	XM_015962015
rna2280	XM_015962027
rna2281	XM_015962052
rna2282	XM_015962041
rna2283	XM_015962064
rna2284	XM_015962083
rna2285	XM_015962107
rna2286	XM_015962092
rna2287	XM_015962100
rna2288	XM_015962075
rna2289	XM_015962118
rna2290	XM_015962127
rna2291	XM_015962150
rna2292	XM_015962140
rna2293	XM_015962163
rna2294	XM_015962172
rna2295	XM_015962184
rna2296	XM_015962194
rna2297	XM_015962214
rna2298	XM_015962206
rna2299	XM_015962227
rna2300	XM_015962234
rna2301	XM_015954660
rna2302	XM_015954672
rna2303	XM_015962247
rna2305	XM_015962261
rna2306	XM_015962281
rna2307	XM_015962290
rna2308	XM_015962297
rna2309	XM_015962272
rna2310	XM_015962309
rna2311	XM_015962321
rna2312	XM_015962333
rna2313	XM_015962345
rna2314	XM_015962357
rna2315	XM_015962365
rna2316	XM_015962373
rna2317	XM_015962386
rna2318	XM_015962398
rna2319	XM_015962404
rna2320	XM_015962412
rna2321	XM_015962423
rna2322	XM_015962436
rna2323	XM_015962450
rna2324	XM_015962484
rna2325	XM_015962474
rna2326	XM_015954685
rna2327	XM_015962462
rna2328	XM_015954697
rna2329	XM_015962497
rna2330	XM_015962510
rna2331	XM_015962519
rna2332	XM_015962529
rna2333	XM_015962540
rna2334	XM_015962569
rna2335	XM_015962549
rna2336	XM_015962554
rna2337	XM_015962561
rna2338	XM_015962577
rna2339	XM_015962602
rna2340	XM_015962589
rna2341	XM_015962629
rna2342	XM_015962618
rna2343	XM_015962639
rna2345	XM_015962653
rna2346	XM_015962647
rna2348	XM_015962665
rna2349	XM_015962677
rna2350	XM_015962691
rna2351	XM_015962707
rna2352	XM_015962719
rna2353	XM_015962733
rna2354	XM_015962744
rna2355	XM_015962757
rna2356	XM_015962769
rna2357	XM_015962783
rna2358	XM_015962804
rna2359	XM_015962814
rna2360	XM_015962793
rna2361	XM_015962826
rna2362	XM_015962839
rna2363	XM_015962847
rna2364	XM_015962859
rna2365	XM_015962872
rna2366	XM_015962883
rna2367	XM_015962897
rna2368	XM_015962909
rna2369	XM_015962930
rna2370	XM_015962923
rna2371	XM_015962916
rna2372	XM_015962944
rna2373	XM_015962956
rna2374	XM_015963013
rna2375	XM_015962969
rna2376	XM_015962984
rna2377	XM_015962976
rna2378	XM_015962992
rna2379	XM_015963001
rna2380	XM_015963024
rna2381	XM_015963036
rna2382	XM_015963067
rna2383	XM_015963050
rna2384	XM_015963059
rna2385	XM_015963104
rna2386	XM_015963089
rna2387	XM_015963096
rna2388	XM_015963079
rna2389	XM_015963116
rna2390	XM_015963141
rna2391	XM_015963128
rna2392	XM_015963164
rna2393	XM_015963150
rna2394	XM_015963175
rna2395	XM_015963200
rna2396	XM_015963188
rna2397	XM_015963224
rna2399	XM_015963245
rna2400	XM_015963237
rna2401	XM_015954707
rna2402	XM_015963271
rna2403	XM_015963262
rna2404	XM_015963282
rna2407	XM_015963292
rna2408	XM_015963315
rna2409	XM_015963324
rna2410	XM_015963343
rna2411	XM_015963334
rna2412	XM_015963351
rna2413	XM_015963364
rna2414	XM_015963371
rna2415	XM_015963398
rna2416	XM_015963383
rna2417	XM_015963407
rna2418	XM_015963391
rna2419	XM_015968719
rna2420	XM_015968709
