ENSLOCP00000000416	lcat (1 of many)	lecithin-cholesterol acyltransferase [Source:ZFIN%3BAcc:ZDB-GENE-010716-3]
ENSLOCP00000000959	TATDN3	TatD DNase domain containing 3 [Source:HGNC Symbol%3BAcc:HGNC:27010]
ENSLOCP00000021404	mylpfb	myosin light chain%2C phosphorylatable%2C fast skeletal muscle b [Source:ZFIN%3BAcc:ZDB-GENE-040912-115]
ENSLOCP00000000981	tatdn3	TatD DNase domain containing 3 [Source:ZFIN%3BAcc:ZDB-GENE-050522-192]
ENSLOCP00000021405	unknown	unknown
ENSLOCP00000000999	flvcr1	feline leukemia virus subgroup C cellular receptor 1 [Source:ZFIN%3BAcc:ZDB-GENE-041014-359]
ENSLOCP00000001020	vash2	vasohibin 2 [Source:ZFIN%3BAcc:ZDB-GENE-041014-355]
ENSLOCP00000001042	vash2	vasohibin 2 [Source:ZFIN%3BAcc:ZDB-GENE-041014-355]
ENSLOCP00000001064	vash2	vasohibin 2 [Source:ZFIN%3BAcc:ZDB-GENE-041014-355]
ENSLOCP00000000825	unknown	unknown
ENSLOCP00000000853	ngdn	neuroguidin%2C EIF4E binding protein [Source:ZFIN%3BAcc:ZDB-GENE-031030-13]
ENSLOCP00000000911	pabpn1	poly(A) binding protein%2C nuclear 1 [Source:ZFIN%3BAcc:ZDB-GENE-040426-2401]
ENSLOCP00000000884	pabpn1	poly(A) binding protein%2C nuclear 1 [Source:ZFIN%3BAcc:ZDB-GENE-040426-2401]
ENSLOCP00000000939	unknown	unknown
ENSLOCP00000001009	smyhc2	slow myosin heavy chain 2 [Source:ZFIN%3BAcc:ZDB-GENE-070822-12]
ENSLOCP00000001056	unknown	unknown
ENSLOCP00000001107	unknown	unknown
ENSLOCP00000001132	slc22a17	solute carrier family 22%2C member 17 [Source:ZFIN%3BAcc:ZDB-GENE-141212-226]
ENSLOCP00000001155	unknown	unknown
ENSLOCP00000001181	unknown	unknown
ENSLOCP00000001202	unknown	unknown
ENSLOCP00000001222	unknown	unknown
ENSLOCP00000001236	thtpa	thiamine triphosphatase [Source:ZFIN%3BAcc:ZDB-GENE-070502-2]
ENSLOCP00000001251	unknown	unknown
ENSLOCP00000001267	unknown	unknown
ENSLOCP00000001308	ipo4	importin 4 [Source:ZFIN%3BAcc:ZDB-GENE-041014-307]
ENSLOCP00000001322	unknown	unknown
ENSLOCP00000001337	unknown	unknown
ENSLOCP00000001352	unknown	unknown
ENSLOCP00000001405	NOP9	NOP9 nucleolar protein [Source:HGNC Symbol%3BAcc:HGNC:19826]
ENSLOCP00000001378	NOP9	NOP9 nucleolar protein [Source:HGNC Symbol%3BAcc:HGNC:19826]
ENSLOCP00000001421	NOP9	NOP9 nucleolar protein [Source:HGNC Symbol%3BAcc:HGNC:19826]
ENSLOCP00000001444	unknown	unknown
ENSLOCP00000001465	si:dkey-77f5.15	si:dkey-77f5.15 [Source:ZFIN%3BAcc:ZDB-GENE-131127-160]
ENSLOCP00000001478	unknown	unknown
ENSLOCP00000001502	unknown	unknown
ENSLOCP00000022356	or101-1 (1 of many)	odorant receptor%2C family B%2C subfamily 101%2C member 1 [Source:ZFIN%3BAcc:ZDB-GENE-990415-190]
ENSLOCP00000000666	unknown	unknown
ENSLOCP00000022361	or101-1 (1 of many)	odorant receptor%2C family B%2C subfamily 101%2C member 1 [Source:ZFIN%3BAcc:ZDB-GENE-990415-190]
ENSLOCP00000022366	or101-1 (1 of many)	odorant receptor%2C family B%2C subfamily 101%2C member 1 [Source:ZFIN%3BAcc:ZDB-GENE-990415-190]
ENSLOCP00000022367	or101-1 (1 of many)	odorant receptor%2C family B%2C subfamily 101%2C member 1 [Source:ZFIN%3BAcc:ZDB-GENE-990415-190]
ENSLOCP00000000704	or101-1 (1 of many)	odorant receptor%2C family B%2C subfamily 101%2C member 1 [Source:ZFIN%3BAcc:ZDB-GENE-990415-190]
ENSLOCP00000022368	or101-1 (1 of many)	odorant receptor%2C family B%2C subfamily 101%2C member 1 [Source:ZFIN%3BAcc:ZDB-GENE-990415-190]
ENSLOCP00000022369	or101-1 (1 of many)	odorant receptor%2C family B%2C subfamily 101%2C member 1 [Source:ZFIN%3BAcc:ZDB-GENE-990415-190]
ENSLOCP00000022370	or101-1 (1 of many)	odorant receptor%2C family B%2C subfamily 101%2C member 1 [Source:ZFIN%3BAcc:ZDB-GENE-990415-190]
ENSLOCP00000021546	unknown	unknown
ENSLOCP00000000901	unknown	unknown
ENSLOCP00000000929	unknown	unknown
ENSLOCP00000000962	unknown	unknown
ENSLOCP00000000968	unknown	unknown
ENSLOCP00000000993	unknown	unknown
ENSLOCP00000001005	unknown	unknown
ENSLOCP00000001035	unknown	unknown
ENSLOCP00000001057	unknown	unknown
ENSLOCP00000001072	unknown	unknown
ENSLOCP00000001098	unknown	unknown
ENSLOCP00000001140	unknown	unknown
ENSLOCP00000001170	unknown	unknown
ENSLOCP00000021547	unknown	unknown
ENSLOCP00000000331	gypc	glycophorin C (Gerbich blood group) [Source:ZFIN%3BAcc:ZDB-GENE-030131-7930]
ENSLOCP00000000379	unknown	unknown
ENSLOCP00000000565	crim1	cysteine rich transmembrane BMP regulator 1 (chordin-like) [Source:ZFIN%3BAcc:ZDB-GENE-040312-2]
ENSLOCP00000000351	unknown	unknown
ENSLOCP00000000398	unknown	unknown
ENSLOCP00000000442	unknown	unknown
ENSLOCP00000000484	unknown	unknown
ENSLOCP00000021411	unknown	unknown
ENSLOCP00000000539	unknown	unknown
ENSLOCP00000000584	unknown	unknown
ENSLOCP00000000633	unknown	unknown
ENSLOCP00000021412	unknown	unknown
ENSLOCP00000000669	unknown	unknown
ENSLOCP00000000710	unknown	unknown
ENSLOCP00000000750	unknown	unknown
ENSLOCP00000021413	unknown	unknown
ENSLOCP00000000988	unknown	unknown
ENSLOCP00000001006	unknown	unknown
ENSLOCP00000001041	unknown	unknown
ENSLOCP00000001047	unknown	unknown
ENSLOCP00000001077	unknown	unknown
ENSLOCP00000001108	unknown	unknown
ENSLOCP00000001127	unknown	unknown
ENSLOCP00000001153	unknown	unknown
ENSLOCP00000001182	unknown	unknown
ENSLOCP00000001210	unknown	unknown
ENSLOCP00000001238	unknown	unknown
ENSLOCP00000001259	si:dkey-32n7.9 (1 of many)	si:dkey-32n7.9 [Source:ZFIN%3BAcc:ZDB-GENE-121214-356]
ENSLOCP00000001285	unknown	unknown
ENSLOCP00000001296	unknown	unknown
ENSLOCP00000001315	unknown	unknown
ENSLOCP00000001335	unknown	unknown
ENSLOCP00000001347	unknown	unknown
ENSLOCP00000001370	unknown	unknown
ENSLOCP00000000157	unknown	unknown
ENSLOCP00000000172	unknown	unknown
ENSLOCP00000000201	unknown	unknown
ENSLOCP00000000227	unknown	unknown
ENSLOCP00000000245	unknown	unknown
ENSLOCP00000000269	unknown	unknown
ENSLOCP00000000286	unknown	unknown
ENSLOCP00000000305	unknown	unknown
ENSLOCP00000021749	unknown	unknown
ENSLOCP00000021750	unknown	unknown
ENSLOCP00000021751	unknown	unknown
ENSLOCP00000000110	unknown	unknown
ENSLOCP00000000113	unknown	unknown
ENSLOCP00000021752	unknown	unknown
ENSLOCP00000021753	unknown	unknown
ENSLOCP00000021754	unknown	unknown
ENSLOCP00000021755	unknown	unknown
ENSLOCP00000021756	unknown	unknown
ENSLOCP00000000117	unknown	unknown
ENSLOCP00000021757	unknown	unknown
ENSLOCP00000000122	unknown	unknown
ENSLOCP00000000127	unknown	unknown
ENSLOCP00000000132	unknown	unknown
ENSLOCP00000021758	unknown	unknown
ENSLOCP00000021759	or102-2	odorant receptor%2C family C%2C subfamily 102%2C member 2 [Source:ZFIN%3BAcc:ZDB-GENE-010308-4]
ENSLOCP00000000135	ubl3a	ubiquitin-like 3a [Source:ZFIN%3BAcc:ZDB-GENE-030131-3431]
ENSLOCP00000000145	unknown	unknown
ENSLOCP00000000167	katnal1	katanin p60 subunit A-like 1 [Source:ZFIN%3BAcc:ZDB-GENE-041114-141]
ENSLOCP00000000180	katnal1	katanin p60 subunit A-like 1 [Source:ZFIN%3BAcc:ZDB-GENE-041114-141]
ENSLOCP00000000208	hmgb1b	high mobility group box 1b [Source:ZFIN%3BAcc:ZDB-GENE-030131-8480]
ENSLOCP00000000239	unknown	unknown
ENSLOCP00000000221	unknown	unknown
ENSLOCP00000000260	alox5ap	arachidonate 5-lipoxygenase-activating protein [Source:ZFIN%3BAcc:ZDB-GENE-030131-9322]
ENSLOCP00000000280	unknown	unknown
ENSLOCP00000000304	unknown	unknown
ENSLOCP00000000287	unknown	unknown
ENSLOCP00000000324	wdr95	WD40 repeat domain 95 [Source:ZFIN%3BAcc:ZDB-GENE-131127-243]
ENSLOCP00000000368	wdr95	WD40 repeat domain 95 [Source:ZFIN%3BAcc:ZDB-GENE-131127-243]
ENSLOCP00000000415	hsph1	heat shock 105/110 protein 1 [Source:ZFIN%3BAcc:ZDB-GENE-120410-4]
ENSLOCP00000000461	b3glcta	beta 3-glucosyltransferase a [Source:ZFIN%3BAcc:ZDB-GENE-110411-147]
ENSLOCP00000000151	unknown	unknown
ENSLOCP00000021765	unknown	unknown
ENSLOCP00000000165	unknown	unknown
ENSLOCP00000000177	unknown	unknown
ENSLOCP00000000196	unknown	unknown
ENSLOCP00000000226	unknown	unknown
ENSLOCP00000000247	unknown	unknown
ENSLOCP00000000278	unknown	unknown
ENSLOCP00000000294	unknown	unknown
ENSLOCP00000018092	unknown	unknown
ENSLOCP00000018096	unknown	unknown
ENSLOCP00000018100	si:dkey-13p1.4	si:dkey-13p1.4 [Source:ZFIN%3BAcc:ZDB-GENE-131127-57]
ENSLOCP00000018110	rpap1	RNA polymerase II associated protein 1 [Source:ZFIN%3BAcc:ZDB-GENE-090914-1]
ENSLOCP00000018133	ltk	leukocyte receptor tyrosine kinase [Source:ZFIN%3BAcc:ZDB-GENE-030616-115]
ENSLOCP00000018139	ltk	leukocyte receptor tyrosine kinase [Source:ZFIN%3BAcc:ZDB-GENE-030616-115]
ENSLOCP00000018147	itpka	inositol-trisphosphate 3-kinase A [Source:ZFIN%3BAcc:ZDB-GENE-030616-116]
ENSLOCP00000021993	unknown	unknown
ENSLOCP00000018153	ivd	isovaleryl-CoA dehydrogenase [Source:ZFIN%3BAcc:ZDB-GENE-030616-262]
ENSLOCP00000018158	BAHD1	bromo adjacent homology domain containing 1 [Source:HGNC Symbol%3BAcc:HGNC:29153]
ENSLOCP00000021994	prlh2r	prolactin releasing hormone 2 receptor [Source:ZFIN%3BAcc:ZDB-GENE-120411-41]
ENSLOCP00000018159	ccdc32	coiled-coil domain containing 32 [Source:ZFIN%3BAcc:ZDB-GENE-131127-581]
ENSLOCP00000018161	ccdc32	coiled-coil domain containing 32 [Source:ZFIN%3BAcc:ZDB-GENE-131127-581]
ENSLOCP00000018166	pcmtl	l-isoaspartyl protein carboxyl methyltransferase%2C like [Source:ZFIN%3BAcc:ZDB-GENE-040426-1738]
ENSLOCP00000018165	pcmtl	l-isoaspartyl protein carboxyl methyltransferase%2C like [Source:ZFIN%3BAcc:ZDB-GENE-040426-1738]
ENSLOCP00000018163	pcmtl	l-isoaspartyl protein carboxyl methyltransferase%2C like [Source:ZFIN%3BAcc:ZDB-GENE-040426-1738]
ENSLOCP00000018170	rpusd2	RNA pseudouridylate synthase domain containing 2 [Source:ZFIN%3BAcc:ZDB-GENE-120411-43]
ENSLOCP00000018171	disp2	dispatched homolog 2 (Drosophila) [Source:ZFIN%3BAcc:ZDB-GENE-030915-1]
ENSLOCP00000018172	disp2	dispatched homolog 2 (Drosophila) [Source:ZFIN%3BAcc:ZDB-GENE-030915-1]
ENSLOCP00000018176	pkdccb	protein kinase domain containing%2C cytoplasmic b [Source:ZFIN%3BAcc:ZDB-GENE-130530-599]
ENSLOCP00000018185	eml1	echinoderm microtubule associated protein like 1 [Source:ZFIN%3BAcc:ZDB-GENE-060929-156]
ENSLOCP00000018187	eml1	echinoderm microtubule associated protein like 1 [Source:ZFIN%3BAcc:ZDB-GENE-060929-156]
ENSLOCP00000000213	unknown	unknown
ENSLOCP00000000236	unknown	unknown
ENSLOCP00000021769	unknown	unknown
ENSLOCP00000000257	znf1100	zinc finger protein 1100 [Source:ZFIN%3BAcc:ZDB-GENE-120215-2]
ENSLOCP00000000277	unknown	unknown
ENSLOCP00000000108	rtca	RNA 3'-terminal phosphate cyclase [Source:ZFIN%3BAcc:ZDB-GENE-030131-9687]
ENSLOCP00000000119	cdc14aa	cell division cycle 14Aa [Source:ZFIN%3BAcc:ZDB-GENE-040426-1214]
ENSLOCP00000000125	unknown	unknown
ENSLOCP00000000130	gpr88	G protein-coupled receptor 88 [Source:ZFIN%3BAcc:ZDB-GENE-030131-8265]
ENSLOCP00000000134	unknown	unknown
ENSLOCP00000000144	unknown	unknown
ENSLOCP00000000159	extl2	exostosin-like glycosyltransferase 2 [Source:ZFIN%3BAcc:ZDB-GENE-060929-1122]
ENSLOCP00000000179	slc30a7	solute carrier family 30 (zinc transporter)%2C member 7 [Source:ZFIN%3BAcc:ZDB-GENE-030131-5650]
ENSLOCP00000000210	dph5	diphthamide biosynthesis 5 [Source:ZFIN%3BAcc:ZDB-GENE-041114-85]
ENSLOCP00000000233	zgc:110366	zgc:110366 [Source:ZFIN%3BAcc:ZDB-GENE-050417-302]
ENSLOCP00000021748	s1pr1	sphingosine-1-phosphate receptor 1 [Source:ZFIN%3BAcc:ZDB-GENE-001228-2]
ENSLOCP00000000256	zbtb37	zinc finger and BTB domain containing 37 [Source:ZFIN%3BAcc:ZDB-GENE-050208-621]
ENSLOCP00000000289	serpinc1	serpin peptidase inhibitor%2C clade C (antithrombin)%2C member 1 [Source:ZFIN%3BAcc:ZDB-GENE-030131-264]
ENSLOCP00000000271	serpinc1	serpin peptidase inhibitor%2C clade C (antithrombin)%2C member 1 [Source:ZFIN%3BAcc:ZDB-GENE-030131-264]
ENSLOCP00000000308	rc3h1a	ring finger and CCCH-type domains 1a [Source:ZFIN%3BAcc:ZDB-GENE-050208-702]
ENSLOCP00000000326	dbt	dihydrolipoamide branched chain transacylase E2 [Source:ZFIN%3BAcc:ZDB-GENE-050320-85]
ENSLOCP00000000373	dbt	dihydrolipoamide branched chain transacylase E2 [Source:ZFIN%3BAcc:ZDB-GENE-050320-85]
ENSLOCP00000000419	lrrc39	leucine rich repeat containing 39 [Source:ZFIN%3BAcc:ZDB-GENE-050417-279]
ENSLOCP00000000458	trmt13	tRNA methyltransferase 13 homolog (S. cerevisiae) [Source:ZFIN%3BAcc:ZDB-GENE-050327-19]
ENSLOCP00000000509	sass6	SAS-6 centriolar assembly protein [Source:ZFIN%3BAcc:ZDB-GENE-040426-2784]
ENSLOCP00000000558	sass6	SAS-6 centriolar assembly protein [Source:ZFIN%3BAcc:ZDB-GENE-040426-2784]
ENSLOCP00000018501	unknown	unknown
ENSLOCP00000018503	unknown	unknown
ENSLOCP00000018504	unknown	unknown
ENSLOCP00000018506	tmem51b	transmembrane protein 51b [Source:ZFIN%3BAcc:ZDB-GENE-030131-5373]
ENSLOCP00000008243	unknown	unknown
ENSLOCP00000008262	unknown	unknown
ENSLOCP00000008278	unknown	unknown
ENSLOCP00000008302	unknown	unknown
ENSLOCP00000008314	unknown	unknown
ENSLOCP00000008337	NTF4	neurotrophin 4 [Source:HGNC Symbol%3BAcc:HGNC:8024]
ENSLOCP00000008351	unknown	unknown
ENSLOCP00000010440	unknown	unknown
ENSLOCP00000010454	unknown	unknown
ENSLOCP00000010469	unknown	unknown
ENSLOCP00000000576	unknown	unknown
ENSLOCP00000000614	unknown	unknown
ENSLOCP00000000653	unknown	unknown
ENSLOCP00000000694	unknown	unknown
ENSLOCP00000000727	unknown	unknown
ENSLOCP00000000768	unknown	unknown
ENSLOCP00000022188	PTGDR2 (1 of many)	prostaglandin D2 receptor 2 [Source:HGNC Symbol%3BAcc:HGNC:4502]
ENSLOCP00000000802	patl1	protein associated with topoisomerase II homolog 1 (yeast) [Source:ZFIN%3BAcc:ZDB-GENE-070209-83]
ENSLOCP00000000832	osbp	oxysterol binding protein [Source:ZFIN%3BAcc:ZDB-GENE-090312-18]
ENSLOCP00000000859	unknown	unknown
ENSLOCP00000000882	unknown	unknown
ENSLOCP00000000915	unknown	unknown
ENSLOCP00000000943	unknown	unknown
ENSLOCP00000000972	unknown	unknown
ENSLOCP00000000994	unknown	unknown
ENSLOCP00000001024	unknown	unknown
ENSLOCP00000001052	unknown	unknown
ENSLOCP00000001076	GPR15	G protein-coupled receptor 15 [Source:HGNC Symbol%3BAcc:HGNC:4469]
ENSLOCP00000001092	unknown	unknown
ENSLOCP00000018031	unknown	unknown
ENSLOCP00000018033	slc35c1	solute carrier family 35 (GDP-fucose transporter)%2C member C1 [Source:ZFIN%3BAcc:ZDB-GENE-041212-11]
ENSLOCP00000018049	cry2	cryptochrome circadian clock 2 [Source:ZFIN%3BAcc:ZDB-GENE-010426-6]
ENSLOCP00000018047	cry2	cryptochrome circadian clock 2 [Source:ZFIN%3BAcc:ZDB-GENE-010426-6]
ENSLOCP00000018055	MAPK8IP1	mitogen-activated protein kinase 8 interacting protein 1 [Source:HGNC Symbol%3BAcc:HGNC:6882]
ENSLOCP00000018056	MAPK8IP1	mitogen-activated protein kinase 8 interacting protein 1 [Source:HGNC Symbol%3BAcc:HGNC:6882]
ENSLOCP00000018062	zgc:92873	zgc:92873 [Source:ZFIN%3BAcc:ZDB-GENE-040718-182]
ENSLOCP00000018071	LRP4	LDL receptor related protein 4 [Source:HGNC Symbol%3BAcc:HGNC:6696]
ENSLOCP00000018083	ckap5	cytoskeleton associated protein 5 [Source:ZFIN%3BAcc:ZDB-GENE-051120-174]
ENSLOCP00000018087	ckap5	cytoskeleton associated protein 5 [Source:ZFIN%3BAcc:ZDB-GENE-051120-174]
ENSLOCP00000000230	unknown	unknown
ENSLOCP00000000251	unknown	unknown
ENSLOCP00000000276	unknown	unknown
ENSLOCP00000000298	unknown	unknown
ENSLOCP00000000307	unknown	unknown
ENSLOCP00000021772	unknown	unknown
ENSLOCP00000000322	unknown	unknown
ENSLOCP00000000773	csnk2b	casein kinase 2%2C beta polypeptide [Source:ZFIN%3BAcc:ZDB-GENE-990415-29]
ENSLOCP00000000810	rps5	ribosomal protein S5 [Source:ZFIN%3BAcc:ZDB-GENE-020419-12]
ENSLOCP00000000833	ddah2	dimethylarginine dimethylaminohydrolase 2 [Source:ZFIN%3BAcc:ZDB-GENE-030131-913]
ENSLOCP00000000869	unknown	unknown
ENSLOCP00000000899	unknown	unknown
ENSLOCP00000000924	unknown	unknown
ENSLOCP00000000031	unknown	unknown
ENSLOCP00000000032	zgc:123217 (1 of many)	zgc:123217 [Source:ZFIN%3BAcc:ZDB-GENE-051113-188]
ENSLOCP00000000035	zgc:123217 (1 of many)	zgc:123217 [Source:ZFIN%3BAcc:ZDB-GENE-051113-188]
ENSLOCP00000000037	unknown	unknown
ENSLOCP00000000040	zgc:123217 (1 of many)	zgc:123217 [Source:ZFIN%3BAcc:ZDB-GENE-051113-188]
ENSLOCP00000000043	unknown	unknown
ENSLOCP00000000045	zgc:123217 (1 of many)	zgc:123217 [Source:ZFIN%3BAcc:ZDB-GENE-051113-188]
ENSLOCP00000000048	unknown	unknown
ENSLOCP00000000050	unknown	unknown
ENSLOCP00000000052	zgc:123217 (1 of many)	zgc:123217 [Source:ZFIN%3BAcc:ZDB-GENE-051113-188]
ENSLOCP00000000054	unknown	unknown
ENSLOCP00000000055	unknown	unknown
ENSLOCP00000000057	vkorc1	vitamin K epoxide reductase complex%2C subunit 1 [Source:ZFIN%3BAcc:ZDB-GENE-030131-2286]
ENSLOCP00000000060	fus	FUS RNA binding protein [Source:ZFIN%3BAcc:ZDB-GENE-040426-1010]
ENSLOCP00000000061	zgc:123217 (1 of many)	zgc:123217 [Source:ZFIN%3BAcc:ZDB-GENE-051113-188]
ENSLOCP00000000063	unknown	unknown
ENSLOCP00000000064	unknown	unknown
ENSLOCP00000000065	unknown	unknown
ENSLOCP00000000858	unknown	unknown
ENSLOCP00000000792	unknown	unknown
ENSLOCP00000000822	unknown	unknown
ENSLOCP00000021961	znf1115	zinc finger protein 1115 [Source:ZFIN%3BAcc:ZDB-GENE-131119-74]
ENSLOCP00000000846	unknown	unknown
ENSLOCP00000000874	unknown	unknown
ENSLOCP00000000902	unknown	unknown
ENSLOCP00000000925	unknown	unknown
ENSLOCP00000000606	unknown	unknown
ENSLOCP00000000643	unknown	unknown
ENSLOCP00000000683	unknown	unknown
ENSLOCP00000000722	unknown	unknown
ENSLOCP00000000756	unknown	unknown
ENSLOCP00000000793	unknown	unknown
ENSLOCP00000000824	unknown	unknown
ENSLOCP00000000857	unknown	unknown
ENSLOCP00000000889	tbc1d17	TBC1 domain family%2C member 17 [Source:ZFIN%3BAcc:ZDB-GENE-050522-79]
ENSLOCP00000000913	AKT1S1	AKT1 substrate 1 [Source:HGNC Symbol%3BAcc:HGNC:28426]
ENSLOCP00000000937	unknown	unknown
ENSLOCP00000000965	unknown	unknown
ENSLOCP00000021764	unknown	unknown
ENSLOCP00000000149	unknown	unknown
ENSLOCP00000000182	unknown	unknown
ENSLOCP00000000197	unknown	unknown
ENSLOCP00000000232	unknown	unknown
ENSLOCP00000000259	unknown	unknown
ENSLOCP00000000367	unknown	unknown
ENSLOCP00000000445	unknown	unknown
ENSLOCP00000000402	unknown	unknown
ENSLOCP00000000447	unknown	unknown
ENSLOCP00000021417	unknown	unknown
ENSLOCP00000000401	unknown	unknown
ENSLOCP00000000428	olfm1a	olfactomedin 1a [Source:ZFIN%3BAcc:ZDB-GENE-040718-194]
ENSLOCP00000000005	cnot3b	CCR4-NOT transcription complex%2C subunit 3b [Source:ZFIN%3BAcc:ZDB-GENE-030131-5838]
ENSLOCP00000000008	prpf31	PRP31 pre-mRNA processing factor 31 homolog (yeast) [Source:ZFIN%3BAcc:ZDB-GENE-040426-1561]
ENSLOCP00000021727	unknown	unknown
ENSLOCP00000000010	tfpt	TCF3 (E2A) fusion partner [Source:ZFIN%3BAcc:ZDB-GENE-140106-241]
ENSLOCP00000000012	unknown	unknown
ENSLOCP00000000013	unknown	unknown
ENSLOCP00000000014	unknown	unknown
ENSLOCP00000000015	unknown	unknown
ENSLOCP00000000016	si:ch211-120k19.1	si:ch211-120k19.1 [Source:ZFIN%3BAcc:ZDB-GENE-100922-282]
ENSLOCP00000000017	unknown	unknown
ENSLOCP00000000021	unknown	unknown
ENSLOCP00000000019	unknown	unknown
ENSLOCP00000000199	unknown	unknown
ENSLOCP00000000222	unknown	unknown
ENSLOCP00000000246	cacng7a	calcium channel%2C voltage-dependent%2C gamma subunit 7a [Source:ZFIN%3BAcc:ZDB-GENE-060503-814]
ENSLOCP00000000272	unknown	unknown
ENSLOCP00000000292	unknown	unknown
ENSLOCP00000000024	slc16a12b	solute carrier family 16%2C member 12b [Source:ZFIN%3BAcc:ZDB-GENE-050522-80]
ENSLOCP00000000025	slc16a12b	solute carrier family 16%2C member 12b [Source:ZFIN%3BAcc:ZDB-GENE-050522-80]
ENSLOCP00000000027	pank1b	pantothenate kinase 1b [Source:ZFIN%3BAcc:ZDB-GENE-070209-259]
ENSLOCP00000000026	pank1b	pantothenate kinase 1b [Source:ZFIN%3BAcc:ZDB-GENE-070209-259]
ENSLOCP00000000028	zgc:65997	zgc:65997 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1502]
ENSLOCP00000000029	htr7a	5-hydroxytryptamine (serotonin) receptor 7a [Source:ZFIN%3BAcc:ZDB-GENE-130530-666]
ENSLOCP00000000030	kif20ba	kinesin family member 20Ba [Source:ZFIN%3BAcc:ZDB-GENE-041111-213]
ENSLOCP00000000033	kif20ba	kinesin family member 20Ba [Source:ZFIN%3BAcc:ZDB-GENE-041111-213]
ENSLOCP00000000038	rpp30	ribonuclease P/MRP 30 subunit [Source:ZFIN%3BAcc:ZDB-GENE-050320-45]
ENSLOCP00000000041	ankrd1a	ankyrin repeat domain 1a (cardiac muscle) [Source:ZFIN%3BAcc:ZDB-GENE-100405-1]
ENSLOCP00000000044	ankrd1a	ankyrin repeat domain 1a (cardiac muscle) [Source:ZFIN%3BAcc:ZDB-GENE-100405-1]
ENSLOCP00000000046	pcgf5a	polycomb group ring finger 5a [Source:ZFIN%3BAcc:ZDB-GENE-080723-33]
ENSLOCP00000000047	pcgf5a	polycomb group ring finger 5a [Source:ZFIN%3BAcc:ZDB-GENE-080723-33]
ENSLOCP00000000049	pcgf5a	polycomb group ring finger 5a [Source:ZFIN%3BAcc:ZDB-GENE-080723-33]
ENSLOCP00000000051	hectd2	HECT domain containing 2 [Source:ZFIN%3BAcc:ZDB-GENE-100405-3]
ENSLOCP00000000066	unknown	unknown
ENSLOCP00000000067	unknown	unknown
ENSLOCP00000000068	unknown	unknown
ENSLOCP00000000069	unknown	unknown
ENSLOCP00000000071	unknown	unknown
ENSLOCP00000000814	unknown	unknown
ENSLOCP00000000839	unknown	unknown
ENSLOCP00000000867	si:dkey-32n7.9 (1 of many)	si:dkey-32n7.9 [Source:ZFIN%3BAcc:ZDB-GENE-121214-356]
ENSLOCP00000000890	unknown	unknown
ENSLOCP00000021969	unknown	unknown
ENSLOCP00000000922	cct7	chaperonin containing TCP1%2C subunit 7 (eta) [Source:ZFIN%3BAcc:ZDB-GENE-020419-7]
ENSLOCP00000000956	unknown	unknown
ENSLOCP00000000970	unknown	unknown
ENSLOCP00000001001	unknown	unknown
ENSLOCP00000001025	unknown	unknown
ENSLOCP00000001049	unknown	unknown
ENSLOCP00000001083	slc12a10.3	slc12a10.3 solute carrier family 12 (sodium/potassium/chloride transporters)%2C member 10%2C tandem duplicate 3 [Source:ZFIN%3BAcc:ZDB-GENE-060503-518]
ENSLOCP00000010199	unknown	unknown
ENSLOCP00000010209	unknown	unknown
ENSLOCP00000010224	IGKV5-2 (1 of many)	immunoglobulin kappa variable 5-2 [Source:HGNC Symbol%3BAcc:HGNC:5835]
ENSLOCP00000010237	unknown	unknown
ENSLOCP00000021261	unknown	unknown
ENSLOCP00000021260	unknown	unknown
ENSLOCP00000021263	unknown	unknown
ENSLOCP00000022238	unknown	unknown
ENSLOCP00000001554	unknown	unknown
ENSLOCP00000001581	unknown	unknown
ENSLOCP00000000128	unknown	unknown
ENSLOCP00000000146	unknown	unknown
ENSLOCP00000000138	unknown	unknown
ENSLOCP00000000425	unknown	unknown
ENSLOCP00000000468	unknown	unknown
ENSLOCP00000000519	unknown	unknown
ENSLOCP00000014966	mcm3l	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)%2C like [Source:ZFIN%3BAcc:ZDB-GENE-040121-2]
ENSLOCP00000014976	si:ch73-40a17.3	si:ch73-40a17.3 [Source:ZFIN%3BAcc:ZDB-GENE-030131-5797]
ENSLOCP00000014978	unknown	unknown
ENSLOCP00000014986	RNF138	ring finger protein 138 [Source:HGNC Symbol%3BAcc:HGNC:17765]
ENSLOCP00000014996	TRAPPC8	trafficking protein particle complex 8 [Source:HGNC Symbol%3BAcc:HGNC:29169]
ENSLOCP00000015002	TRAPPC8	trafficking protein particle complex 8 [Source:HGNC Symbol%3BAcc:HGNC:29169]
ENSLOCP00000015014	opn7a	opsin 7%2C group member a [Source:ZFIN%3BAcc:ZDB-GENE-140106-15]
ENSLOCP00000000464	unknown	unknown
ENSLOCP00000000515	klhl14	kelch-like family member 14 [Source:ZFIN%3BAcc:ZDB-GENE-091204-223]
ENSLOCP00000000564	rab13	RAB13%2C member RAS oncogene family [Source:ZFIN%3BAcc:ZDB-GENE-030826-30]
ENSLOCP00000000609	garem	GRB2 associated%2C regulator of MAPK1 [Source:ZFIN%3BAcc:ZDB-GENE-040426-767]
ENSLOCP00000000821	unknown	unknown
ENSLOCP00000000843	unknown	unknown
